기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지,수출금액비율,수익금액비율
2023,04,"낙농품, 새의 알, 천연꿀, 다른 류로 분류되지 않은 식용인 동물성 생산품",31163,78713,370208.7,1590746,-1512033,0,0.2
2023,12,"채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용ㆍ의약용 식물, 짚과 사료용 식물",31378.9,526548,3024555.6,2078228,-1551679,0.1,0.3
2023,75,니켈과 그 제품,16277.7,296500,99995.6,1904441,-1607940,0,0.3
2023,15,"동물성ㆍ식물성ㆍ미생물성 지방과 기름 및이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스",141087.9,167923,1639144.5,2132655,-1964732,0,0.3
2023,38,각종 화학공업 생산품,1198610.2,6677146,3046537.6,8786734,-2109587,1.1,1.4
2023,95,완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,24178.6,544211,174671.8,2709770,-2165558,0.1,0.4
2023,94,"가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물",190506.6,1363987,771144,3624313,-2260326,0.2,0.6
2023,23,"식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",338176.5,342918,6709274.8,2742507,-2399589,0.1,0.4
2023,44,"목재와 그 제품, 목탄",49027.5,62549,10202640.1,3113107,-3050558,0,0.5
2023,03,어류ㆍ갑각류ㆍ연체동물과 그 밖의 수생(水生) 무척추동물,576226.7,1735581,1213407.2,5131305,-3395723,0.3,0.8
2023,64,"신발류ㆍ각반과 이와 유사한 것, 이들의 부분품",20319.3,416406,136855.9,3891515,-3475109,0.1,0.6
2023,42,"가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",9442.9,411447,103961.1,4068152,-3656706,0.1,0.6
2023,76,알루미늄과 그 제품,1193325,4518035,3014383.4,8199988,-3681953,0.7,1.3
2023,30,의료용품,29140.6,6203425,88694.4,9952803,-3749378,1,1.5
2023,61,의류와 그 부속품(메리야스 편물이나 뜨개질 편물로 한정한다),34777.3,901823,236563.6,4842235,-3940412,0.1,0.8
2023,90,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",204379.8,16901029,182689.2,21958896,-5057868,2.7,3.4
2023,28,"무기화학품, 귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의 유기화합물이나 무기화합물",5651379.7,16353625,4457244,21516317,-5162692,2.6,3.4
2023,10,곡물,61481.8,37550,16301088.9,5548006,-5510456,0,0.9
2023,62,의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다),39351.5,1036383,237048.2,7149304,-6112921,0.2,1.1
2023,02,육과 식용 설육(屑肉),51394.8,73877,1317061.7,6631720,-6557843,0,1
2023,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),1843371.2,1762314,79939520.9,19685587,-17923274,0.3,3.1
2023,27,"광물성 연료ㆍ광물유(鑛物油)와 이들의 증류물, 역청(瀝靑)물질, 광물성 왁스",66231762.1,54042175,342538664.7,171354534,-117312359,8.6,26.7
